Timestamp;Number of Sneezes;Current Activity;Location;Number of Blesses;Other Responses;Number of Nearby People;Notes;GeoStamp;GeoCode;GeoAddress
1/27/2022 10:01:34;2;Coding;Home (Office);0;;0;;01/27/2022 22:01:37;40.773455,-74.0380544;1407 28th St, North Bergen, NJ 07047, USA
1/28/2022 7:51:00;4;Cooking;Home (Kitchen);1;;1;;01/28/2022 19:51:03;40.7735183,-74.0380251;1407 28th St, North Bergen, NJ 07047, USA
1/28/2022 12:44:26;2;Coding;Home (Office);0;;0;;01/29/2022 6:10:16;40.7734745,-74.0379226;1407 28th St, North Bergen, NJ 07047, USA
1/29/2022 12:23:59;2;Cooking ;Home (Kitchen);1;;1;;01/30/2022 4:19:37;40.7734991,-74.037876;1405 28th St, North Bergen, NJ 07047, USA
1/29/2022 16:19:34;2;Gaming;Home (Office);1;;1;;01/30/2022 23:28:36;40.7733272,-74.0381503;1408 27th St, North Bergen, NJ 07047, USA
1/29/2022 19:06:46;2;Eating dinner;Home (Living Room);1;;1;;01/30/2022 7:06:50;40.7734523,-74.0380171;1407 28th St, North Bergen, NJ 07047, USA
1/30/2022 11:28:34;3;Washing dishes;Home (Kitchen);0;;1;;01/31/2022 2:10:08;40.7733702,-74.0380185;1407 28th St, North Bergen, NJ 07047, USA
1/30/2022 14:10:05;3;Listening to Charlee;Home (Kitchen);1;;1;;01/31/2022 10:05:58;40.7734652,-74.0380459;1407 28th St, North Bergen, NJ 07047, USA
1/30/2022 22:05:56;1;Talking to Parents;Home (Kitchen);1;;1;;01/31/2022 23:58:15;40.7734521,-74.0380437;1407 28th St, North Bergen, NJ 07047, USA
1/31/2022 11:58:12;3;Working;Home (Office);0;;0;;02/01/2022 5:52:41;40.7734583,-74.0380669;1407 28th St, North Bergen, NJ 07047, USA
1/31/2022 19:52:20;2;Cooking;Home (Kitchen);1;;1;;02/02/2022 0:00:29;40.773464,-74.0380612;1407 28th St, North Bergen, NJ 07047, USA
2/1/2022 11:24:31;2;Working;Home (Office);0;;0;;02/01/2022 23:24:34;40.773462,-74.0380413;1407 28th St, North Bergen, NJ 07047, USA
2/1/2022 12:00:27;4;Making lunch;Home (Kitchen);0;;0;;02/02/2022 3:02:00;40.7734594,-74.0380333;1407 28th St, North Bergen, NJ 07047, USA
2/1/2022 19:15:02;2;Helping Charlee;Home (Office);1;;1;;02/02/2022 7:15:06;40.7734639,-74.0380351;1407 28th St, North Bergen, NJ 07047, USA
2/2/2022 7:53:49;3;Drinking Coffee;Home (Kitchen);1;;1;;02/03/2022 21:32:15;40.7734627,-74.0380403;1407 28th St, North Bergen, NJ 07047, USA
2/3/2022 9:32:13;3;Coding ;Home (Office);1;;1;;02/04/2022 4:14:18;40.7736577,-74.038192;1413 28th St, North Bergen, NJ 07047, USA
2/3/2022 12:38:05;2;Coding ;Home (Office);0;;0;;02/04/2022 0:38:08;40.773465,-74.038038;1407 28th St, North Bergen, NJ 07047, USA
2/4/2022 17:26:10;3;Gaming;Home (Office);1;;1;;2/4/2022 17:26:10;40.7734979,-74.0379875;
2/5/2022 12:31:53;4;Cleaning;Home (Kitchen);1;;1;;2/5/2022 12:31:53;40.7733088,-74.0382029;
2/5/2022 14:32:09;5;Cleaning;Home (Office);1;;1;;2/5/2022 14:32:09;40.7734608,-74.0380378;
2/5/2022 21:12:12;3;Watching a movie;Home (Living Room);1;;1;;2/5/2022 21:12:12;40.7734523,-74.0380397;
2/7/2022 9:31:49;4;Programming;Home (Office);0;;0;;2/7/2022 9:31:49;40.773380279541,-74.0379486083984;
2/7/2022 16:55:54;2;Video Games;Home (Office);0;;0;;2/7/2022 16:55:54;40.7734413146972,-74.0380554199218;
2/8/2022 12:16:07;5;Programming;Home (Office);0;;0;;2/8/2022 12:16:07;40.7734653,-74.0380376;
2/9/2022 7:46:16;3;Programming;Home (Office);1;;1;;2/9/2022 7:46:16;40.7734742,-74.0380404;
2/9/2022 14:27:12;3;Working;Home (Office);0;;0;;2/9/2022 14:27:12;40.7734802,-74.0380149;
2/9/2022 20:50:27;4;Cooking dinner;Home (Kitchen);0;;0;;2/9/2022 20:50:27;40.7734207,-74.0381582;
2/10/2022 12:07:57;2;Walking the dog;City Street;1;;1;;2/10/2022 12:07:57;40.7734754,-74.0380216;
2/10/2022 17:19:32;4;Opening Packages;Home (Kitchen);0;;0;;2/10/2022 17:19:32;40.7734455,-74.0380401;
2/11/2022 10:27:35;5;Programming;Home (Office);0;;0;;2/11/2022 10:27:35;40.7734679,-74.0380206;
2/11/2022 15:53:23;1;Programming;Home (Office);0;;0;;2/11/2022 15:53:23;40.7734679,-74.0380206;
2/11/2022 17:31:01;2;Video Games;Home (Office);0;;0;;2/11/2022 17:31:01;40.7734671,-74.0380281;
2/11/2022 19:01:51;2;Talking to Charlee;Home (Office);1;;1;;2/11/2022 19:01:51;40.7734671,-74.0380281;
2/11/2022 20:36:04;2;Zoom Games;Home (Office);0;;1;;2/11/2022 20:36:04;40.7734613,-74.038033;
2/12/2022 9:03:41;3;Riding in the car;Car (Passenger);1;;1;;2/12/2022 9:03:41;40.2895201,-74.6897348;
2/12/2022 10:35:24;2;Riding in the car;Car (Passenger);1;;1;;2/12/2022 10:35:24;40.2594947,-74.7973966;
2/12/2022 12:50:36;3;Riding in the car;Car (Passenger);1;;1;;2/12/2022 12:50:36;40.8544063,-74.1786847;
2/13/2022 10:00:08;3;Cooking Breakfast;Home (Kitchen);1;;1;;2/13/2022 10:00:08;40.7734602,-74.0380376;
2/14/2022 7:08:52;3;Programming;Home (Office);1;;1;;2/14/2022 7:08:52;40.7731822,-74.0379514;
2/14/2022 11:14:25;4;Refilling pepper shaker;Home (Kitchen);0;;0;;2/14/2022 11:14:25;40.7734874,-74.0380769;
2/14/2022 13:31:33;1;Working;Home (Office);0;;0;;2/14/2022 13:31:33;40.7734643,-74.0380436;
2/15/2022 10:52:32;1;Working;Home (Office);0;;0;;2/15/2022 10:52:32;40.7734488,-74.0380591;
2/16/2022 10:19:21;4;Working;Home (Office);0;;0;;2/16/2022 10:19:21;40.7734707,-74.0380209;
2/16/2022 11:44:23;4;Working;Home (Office);0;;0;;2/16/2022 11:44:23;40.7734839,-74.0380173;
2/16/2022 17:45:43;2;Talking on the phone;Home (Office);1;;1;;2/16/2022 17:45:43;40.773482,-74.0380182;
2/16/2022 20:57:07;1;Helping Charlee Study;Home (Office);1;;1;;2/16/2022 20:57:07;40.7734437,-74.0380383;
2/17/2022 7:20:26;2;Helping Charlee Study;Home (Office);1;;1;;2/17/2022 7:20:26;40.7734336853027,-74.0380325317382;
2/17/2022 9:01:30;4;Washing dishes;Home (Office);0;;0;;2/17/2022 9:01:30;40.7734531,-74.0382922;
2/17/2022 19:59:58;3;Eating dinner;Home (Kitchen);1;;1;;2/17/2022 19:59:58;40.7734518,-74.0380427;
2/19/2022 9:20:34;4;Folding Laundry;Home (Bedroom);1;;1;;2/19/2022 9:20:34;40.7735836,-74.0379313;
2/20/2022 16:03:00;3;Driving;Drive thru;1;;1;;2/20/2022 16:03:00;40.5148465,-74.3750423;
2/21/2022 9:17:36;4;Riding in the car;Car (Passenger);1;;1;;2/21/2022 9:17:36;40.7737558,-74.0359179;
2/21/2022 17:23:12;4;Building a model train;Hotel Room;1;;1;;2/21/2022 17:23:12;40.5216374,-74.3403696;
2/23/2022 8:30:56;3;Working;Hotel Room;0;;0;;2/23/2022 8:30:56;40.5216701,-74.3403717;
2/23/2022 10:55:41;4;Working;Hotel Room;0;;0;;2/23/2022 10:55:41;40.5216777,-74.3403601;
2/24/2022 7:34:09;4;Driving;Car (Driving);1;;1;;2/24/2022 7:34:09;40.5515715,-74.2734039;
2/24/2022 11:11:07;4;Cleaning;Home (Office);0;;0;;2/24/2022 11:11:07;40.7733175,-74.0381183;
2/24/2022 13:18:20;2;Working;Home (Bedroom);0;;0;;2/24/2022 13:18:20;40.7735201,-74.0381063;
2/25/2022 15:30:21;1;Video Games;Home (Office);0;;0;;2/25/2022 15:30:21;40.7733294,-74.0381265;
2/26/2022 13:35:57;3;Driving;Car (Driving);1;;1;;2/26/2022 13:35:57;40.9193596,-74.0736752;
2/26/2022 22:02:38;4;Carpet Cleaning;Home (Bedroom);1;;1;;2/26/2022 22:02:38;40.7734944,-74.0380153;
2/27/2022 12:50:36;5;Cleaning;Home (Kitchen);1;;1;;2/27/2022 12:50:36;40.773456,-74.0380524;
2/27/2022 17:57:07;3;Watching TV;Home (Living Room);1;;1;;2/27/2022 17:57:07;40.7734951,-74.0380188;
2/27/2022 22:01:49;1;Watching a movie;Home (Living Room);1;;1;;2/27/2022 22:01:49;40.77363,-74.0380263;
2/28/2022 11:08:36;2;Video Games;Home (Office);0;;0;;2/28/2022 11:08:36;40.7734822,-74.038029;
2/28/2022 22:20:10;1;Getting in bed;Home (Bedroom);0;;0;;2/28/2022 22:20:10;40.7734903,-74.0380072;
3/3/2022 9:40:30;4;Working;Home (Office);0;;0;;3/3/2022 9:40:30;40.7734531,-74.038081;
3/3/2022 13:05:17;4;Working;Home (Office);0;;0;;3/3/2022 13:05:17;40.7734654,-74.0380456;
3/3/2022 13:59:27;2;Folding Laundry;Home (Bedroom);0;;0;;3/3/2022 13:59:27;40.7734976,-74.0380203;
3/3/2022 19:28:12;2;Putting On A Jacket;Home (Hallway);1;;1;;3/3/2022 19:28:12;40.7735189,-74.0381637;
3/4/2022 15:41:12;5;Packing;Home (Bathroom);0;;0;;3/4/2022 15:41:12;40.7736549,-74.0382961;
3/5/2022 9:57:51;4;Driving;Car (Driving);1;;1;;3/5/2022 9:57:51;38.3048625,-80.9125066;
3/5/2022 15:35:12;2;Hunting Driftwood;Lake;1;;1;;3/5/2022 15:35:12;38.2935327,-80.8336821;
3/5/2022 16:06:37;2;Getting Icecream;Icecream stand;1;;1;;3/5/2022 16:06:37;38.2704886,-80.9989573;
3/6/2022 12:22:02;4;Driving;Car (Driving);1;;1;;3/6/2022 12:22:02;38.2973499,-80.8339127;
3/6/2022 15:21:00;1;Driving home;Car (Passenger);0;;1;;3/6/2022 15:21:00;38.3097267150878,-80.8401565551757;
3/7/2022 9:08:48;3;Watching Youtube;Home (Office);0;;0;;3/7/2022 9:08:48;40.773496,-74.0380089;
3/7/2022 10:22:03;2;Video Games;Home (Office);0;;0;;3/7/2022 10:22:03;40.7734798,-74.0379963;
3/7/2022 22:22:10;2;Brushing my teeth;Home (Bathroom);0;;0;;3/7/2022 22:22:10;40.7734925,-74.0379922;
3/8/2022 8:15:56;4;Talking to Charlee;Home (Bedroom);1;;1;;3/8/2022 8:15:56;40.7734889,-74.0380002;
3/8/2022 14:26:58;4;Putting on clothes;Home (Bedroom);0;;0;;3/8/2022 14:26:58;40.7734586,-74.0379115;
3/9/2022 10:21:28;1;Programming;Home (Office);1;;1;;3/9/2022 10:21:28;40.7734726,-74.0379978;
3/9/2022 10:58:29;3;Programming;Home (Office);1;;1;;3/9/2022 10:58:29;40.7734766,-74.0380106;
3/9/2022 16:51:48;3;Drying off;Home (Bathroom);1;;1;;3/9/2022 16:51:48;40.7734105,-74.0380682;
3/10/2022 16:18:03;2;Folding Laundry;Home (Bedroom);1;;1;;3/10/2022 16:18:03;40.7734764,-74.0380354;
3/10/2022 19:42:39;4;Cooking dinner;Home (Kitchen);1;;1;;3/10/2022 19:42:39;40.7733643,-74.0381454;
3/11/2022 13:19:27;2;Pooping;Home (Bathroom);0;;0;;3/11/2022 13:19:27;40.7735358,-74.0379743;
3/13/2022 12:10:51;4;Driving;Car (Driving);0;;0;;3/13/2022 12:10:51;40.807968,-74.0782385;
3/13/2022 20:18:49;3;Putting on clothes;Home (Bedroom);1;;1;;3/13/2022 20:18:49;40.7735379,-74.0379694;
3/14/2022 16:41:51;3;Programming;Home (Office);0;;0;;3/14/2022 16:41:51;40.7735487,-74.0379414;
3/15/2022 13:08:54;3;Video Games;Home (Office);0;;0;;3/15/2022 13:08:54;40.7734794,-74.0379985;
3/16/2022 7:49:44;3;Working;Home (Office);0;;0;;3/16/2022 7:49:44;40.7734796,-74.0378511;
3/16/2022 9:03:46;3;Working;Home (Office);0;;0;;3/16/2022 9:03:46;40.7732275,-74.03807;
3/16/2022 10:08:59;2;Working;Home (Office);0;;0;;3/16/2022 10:08:59;40.7734693,-74.0380007;
3/16/2022 22:05:31;2;Trying to sleep;Home (Bedroom);1;;1;;3/16/2022 22:05:31;40.7735329,-74.0381342;
3/17/2022 6:39:56;6;Making coffee;Home (Hallway);1;;1;;3/17/2022 6:39:56;40.7734813,-74.0380018;
3/17/2022 9:19:20;2;Working;Home (Office);0;;0;;3/17/2022 9:19:20;40.7734792,-74.037999;
3/17/2022 9:32:27;1;Working;Home (Office);0;;0;;3/17/2022 9:32:27;40.7734761,-74.0380268;
3/17/2022 19:51:52;4;Packing Leftovers;Home (Kitchen);1;;1;;3/17/2022 19:51:52;40.7734673,-74.0380047;
3/18/2022 7:31:02;4;Making Breakfast;Home (Hallway);1;;1;;3/18/2022 7:31:02;40.7734178,-74.0383117;
3/18/2022 14:55:22;3;Walking the dog;City Street;0;;0;;3/18/2022 14:55:22;40.7726557,-74.0360099;
3/19/2022 10:38:03;4;Walking the dog;City Street;0;;0;;3/19/2022 10:38:03;40.7734744,-74.0380045;
3/19/2022 12:03:26;3;Driving;Car (Driving);1;;1;;3/19/2022 12:03:26;40.8682509,-74.0546942;
3/19/2022 15:21:30;3;Driving;Car (Driving);1;;1;;3/19/2022 15:21:30;40.8470552,-73.9705636;
3/19/2022 17:25:23;1;Cleaning;Home (Bedroom);1;;1;;3/19/2022 17:25:23;40.7735297,-74.0379752;
3/20/2022 13:47:36;3;Walking the dog;City Street;1;;1;;3/20/2022 13:47:36;40.7734281,-74.038143;
3/21/2022 9:11:56;3;Working;Home (Office);0;;0;;3/21/2022 9:11:56;40.7734688,-74.0380035;
3/21/2022 10:54:27;3;Working;Home (Office);0;;0;;3/21/2022 10:54:27;40.7734637,-74.0380092;
3/22/2022 11:40:46;3;Working;Home (Office);0;;0;;3/22/2022 11:40:46;40.7734685,-74.0380009;
3/22/2022 12:24:26;4;Working;Home (Office);0;;0;;3/22/2022 12:24:26;40.7734787,-74.0379975;
3/23/2022 13:57:34;1;Watching Youtube;Home (Office);0;;0;;3/23/2022 13:57:34;40.7734887,-74.0379613;
3/23/2022 18:12:02;2;Errands;Home (Office);1;;1;;3/23/2022 18:12:02;40.7734289,-74.0379381;
3/23/2022 19:10:17;4;Cooking dinner;Home (Kitchen);1;;1;;3/23/2022 19:10:17;40.7734459,-74.0380166;
3/24/2022 7:30:10;3;Making coffee;Home (Office);0;;0;;3/24/2022 7:30:10;40.7733918,-74.0380604;
3/25/2022 13:34:19;5;Walking the dog;City Street;1;;1;;3/25/2022 13:34:19;40.7734895,-74.0379953;
3/25/2022 22:24:54;3;Brushing my teeth;Home (Bathroom);1;;1;;3/25/2022 22:24:54;40.7735084,-74.0379628;
3/27/2022 9:12:12;6;Drinking Coffee;Home (Kitchen);1;;1;;3/27/2022 9:12:12;40.7734497,-74.0380367;
3/27/2022 9:30:15;4;Driving;Car (Driving);0;;0;;3/27/2022 9:30:15;40.774927,-74.0388001;
3/27/2022 18:19:40;4;Cooking dinner;Home (Kitchen);1;;1;;3/27/2022 18:19:40;40.7734918,-74.0380047;
3/28/2022 18:49:23;1;Talking to Parents;Home (Kitchen);1;;1;;3/28/2022 18:49:23;40.7735619,-74.0379674;
3/29/2022 11:00:28;3;Walking the dog;City Street;0;;0;;3/29/2022 11:00:28;40.7737258,-74.0381127;
3/29/2022 20:09:25;2;Cooking dinner;Home (Kitchen);1;;1;;3/29/2022 20:09:25;40.7732798,-74.0381462;
3/30/2022 7:12:18;3;Working;Home (Office);0;;0;;3/30/2022 7:12:18;40.7735136,-74.0379667;
3/30/2022 20:58:09;2;Putting crushed red pepper on pizza;Home (Living Room);1;;1;;3/30/2022 20:58:09;40.7741623,-74.0382319;
3/31/2022 11:52:25;3;Making lunch;Home (Kitchen);1;;1;;3/31/2022 11:52:25;40.7734261,-74.0380614;
3/31/2022 17:40:54;3;Cooking dinner;Home (Kitchen);1;;1;;3/31/2022 17:40:54;40.7735384,-74.0383783;
4/1/2022 11:37:41;2;Working;Home (Office);0;;0;;4/1/2022 11:37:41;40.7734847,-74.0380039;
4/1/2022 15:53:15;2;Working;Home (Office);0;;0;;4/1/2022 15:53:15;40.7830431,-74.0353367;
4/2/2022 10:44:29;2;Drinking Coffee;Home (Kitchen);0;;0;;4/2/2022 10:44:29;40.773418,-74.0380799;
4/2/2022 14:50:57;1;Cleaning;Home (Kitchen);1;;1;;4/2/2022 14:50:57;40.7734831,-74.0379795;
4/2/2022 19:38:18;3;Cooking dinner;Home (Kitchen);0;;1;;4/2/2022 19:38:18;40.7702891,-74.0390088;
4/2/2022 22:46:57;3;Making the bed;Home (Bedroom);1;;1;;4/2/2022 22:46:57;40.7735107,-74.0379589;
4/3/2022 9:16:31;1;Watching Youtube;Home (Office);0;;1;;4/3/2022 9:16:31;40.7734974,-74.0379766;
4/4/2022 11:02:21;3;Walking the dog;City Street;0;;0;;4/4/2022 11:02:21;40.7748678,-74.0386416;
4/4/2022 17:29:19;3;Watching Youtube;Home (Office);0;;0;;4/4/2022 17:29:19;40.773493,-74.0379639;
4/5/2022 14:36:43;3;Working;Home (Office);0;;0;;4/5/2022 14:36:43;40.7734933,-74.0380162;
4/8/2022 17:53:27;5;Washing my hands;Home (Bathroom);1;;1;;4/8/2022 17:53:27;40.7734889,-74.0379934;
4/9/2022 12:50:18;4;Sweeping;Home (Hallway);1;;1;;4/9/2022 12:50:18;40.7734599,-74.0380687;
4/10/2022 6:47:09;4;Driving;Car (Driving);1;;1;;4/10/2022 6:47:09;40.7735438,-74.0377325;
4/11/2022 7:40:48;5;Walking the dog;City Street;1;;1;;4/11/2022 7:40:48;40.7735634,-74.038015;
4/12/2022 15:29:12;1;Working;Home (Office);0;;0;;4/12/2022 15:29:12;40.7734704,-74.0380364;
4/13/2022 11:19:03;4;Walking the dog;City Street;0;;0;;4/13/2022 11:19:03;40.7735125,-74.0379914;
4/13/2022 13:35:10;3;Working;Home (Office);0;;0;;4/13/2022 13:35:10;40.773492,-74.0380166;
4/13/2022 16:55:04;1;Working;Home (Office);0;;0;;4/13/2022 16:55:04;40.7734899,-74.037992;
4/13/2022 18:41:56;3;Cooking dinner;Home (Kitchen);0;;0;;4/13/2022 18:41:56;40.7739078,-74.0382805;
4/14/2022 11:09:06;3;Walking the dog;City Street;0;;0;;4/14/2022 11:09:06;40.7750875,-74.0385101;
4/16/2022 10:11:26;2;Riding in the car;Car (Passenger);1;;1;No service;4/16/2022 10:11:26;38.2759696,-80.7600611;
4/16/2022 11:12:41;4;Porch Sitting;Porch;1;;1;;4/16/2022 11:12:41;38.2831379,-80.8405199;
4/16/2022 11:19:34;1;Porch Sitting;Porch;1;;1;;4/16/2022 11:19:34;38.2831194,-80.8405614;
4/16/2022 14:17:05;3;Porch Sitting;Porch;1;;1;;4/16/2022 14:17:05;38.2950426,-80.9133808;
4/17/2022 0:34:17;2;Getting in bed;Granny's Living Room;1;;1;;4/17/2022 0:34:17;38.2952477,-80.913223;
4/17/2022 12:00:42;5;Porch Sitting;Porch;1;;1;;4/17/2022 12:00:42;38.2952482,-80.9132233;
4/17/2022 21:04:04;1;Riding in the car;Car (Passenger);1;;1;;4/17/2022 21:04:04;39.6935118,-78.1436062;
4/18/2022 9:52:40;3;Working;Home (Office);0;;0;;4/18/2022 9:52:40;40.7734892,-74.0380034;
4/20/2022 8:19:02;4;Laying in bed;Home (Bedroom);0;;0;;4/20/2022 8:19:02;40.7735216,-74.0379912;
4/20/2022 8:49:42;2;Working;Home (Office);0;;0;;4/20/2022 8:49:42;40.7734766,-74.0380232;
4/20/2022 9:58:26;3;Working;Home (Office);0;;0;;4/20/2022 9:58:26;40.7734863,-74.0380241;
4/20/2022 10:47:15;3;Working;Home (Office);0;;0;;4/20/2022 10:47:15;40.7734834,-74.0380156;
4/20/2022 11:40:25;3;Working;Home (Office);0;;0;;4/20/2022 11:40:25;40.7734893,-74.0380214;
4/20/2022 14:01:24;4;Walking down the hall;Home (Kitchen);0;;0;;4/20/2022 14:01:24;40.7734621,-74.0380362;
4/20/2022 14:04:07;2;Watching Youtube;Home (Office);0;;0;;4/20/2022 14:04:07;40.7734917,-74.0380213;
4/20/2022 16:46:41;3;Making Tea;Home (Kitchen);0;;0;;4/20/2022 16:46:41;40.7734864,-74.0380285;
4/20/2022 18:49:26;3;Washing dishes;Home (Kitchen);1;;1;;4/20/2022 18:49:26;40.7734895,-74.0380127;
